type    | name            | target

perl    | alias
perl    | amaze
perl    | asknet
perl    | c-text
perl    | catvia
perl    | ccat
perl    | chmac
perl    | cleanhtml
perl    | clip
perl    | close
perl    | copyfix
perl    | csv2xml
perl    | cuelist
perl    | cvsapp
perl    | cvsco
perl    | dbquery
autoit3 | dejar2
perl    | delaxar
perl    | dirdiff
perl    | dirs
perl    | discuz
perl    | dnac
perl    | dnad
perl    | domp
perl    | doweb
perl    | dsd
perl    | elaps
perl    | execgui
perl    | fddump
perl    | findjsp
perl    | foreach
perl    | forx
perl    | fs2xml
perl    | ftpsend
perl    | fun
perl    | getmed
perl    | gresp
perl    | hackdict
perl    | hex
perl    | in
perl    | jarwrap
perl    | labat
perl    | laxar
perl    | lines
perl    | loop2
perl    | lstconv
perl    | merge2
perl    | mkchm
perl    | monitor
perl    | mp3ltrim
perl    | names
perl    | newline
perl    | nfs
perl    | ntspi
perl    | nu
perl    | odx
perl    | parse-ulog
perl    | patchs
perl    | pc
perl    | pcs
perl    | pct
perl    | php5to4
perl    | plbat
perl    | plargs
perl    | psh
perl    | readcode
perl    | readkey
perl    | redperl
perl    | relay
perl    | repl
perl    | resolv
perl    | rpath
perl    | rundelay
perl    | runx
perl    | scandiff
perl    | scx
perl    | served
perl    | sev
perl    | sim
perl    | simxml
perl    | so
perl    | ss
perl    | srt-delay
perl    | strwrap
perl    | stx2xml
perl    | tabify
perl    | tabsize
perl    | titleize
perl    | trim
perl    | tryallcs
perl    | trycp
perl    | u               | usecode
perl    | unchm
perl    | unindent
perl    | urlconv
perl    | walk
perl    | wcc
perl    | whoare
perl    | winvod
perl    | wm
perl    | xget
perl    | ydump
perl    | zzcat
